City,Cloudiness,Country,Date,Humidity,Long,Lat,Max Temp(°F),Wind Speed
Cherdakly,0,RU,1552935600,92,48.84,54.36,23.0,2.33
Hilo,90,US,1552938451,56,-155.08,19.71,73.99,5.82
Aklavik,40,CA,1552935600,64,-135.01,68.22,41.0,2.24
Dikson,80,RU,1552938485,93,80.55,73.51,22.74,21.45
Saint-Philippe,1,CA,1552938471,36,-73.48,45.36,30.99,21.92
Chokurdakh,48,RU,1552938485,62,147.9,70.62,-21.28,3.0
Bubaque,0,GW,1552938485,96,-15.83,11.28,78.09,12.95
Kieta,8,PG,1552938485,100,155.63,-6.22,80.16,2.82
Bambous Virieux,40,MU,1552938243,78,57.76,-20.34,82.4,6.93
Keshod,0,IN,1552938486,53,70.25,21.3,67.11,2.71
New Norfolk,75,AU,1552938441,87,147.06,-42.78,53.6,6.93
Lavrentiya,0,RU,1552938486,100,-170.99,65.58,4.11,10.76
San Lorenzo,0,HN,1552938221,52,-87.45,13.43,90.96,7.14
Mataura,64,NZ,1552938006,96,168.86,-46.19,57.0,4.5
Telenesti,0,MD,1552938484,54,28.37,47.5,53.6,18.34
Upernavik,24,GL,1552938487,100,-56.15,72.79,-12.1,3.22
Babu,80,CN,1552938487,93,104.89,23.23,55.68,2.59
Yellowknife,90,CA,1552938292,79,-114.38,62.45,37.99,13.87
Jamestown,64,AU,1552938456,91,138.6,-33.21,54.24,2.82
Rikitea,76,PF,1552938488,100,-134.97,-23.12,77.55,19.55
Arraial do Cabo,20,BR,1552935600,74,-42.02,-22.97,91.4,18.34
Puerto Ayora,20,EC,1552938454,66,-90.35,-0.74,84.2,6.93
Butaritari,64,KI,1552938488,100,172.79,3.07,82.14,15.3
Tautira,40,PF,1552938205,70,-149.15,-17.73,87.01,3.36
Hermanus,0,ZA,1552938310,91,19.24,-34.42,64.99,1.01
Urgut,75,UZ,1552935600,58,67.25,39.41,55.4,11.41
Kinston,1,US,1552938158,29,-77.58,35.26,66.2,12.33
Jaisinghnagar,0,IN,1552938494,48,78.57,23.63,60.18,4.56
Raton,1,US,1552938418,26,-104.44,36.9,55.99,14.99
Cuamba,20,MZ,1552938494,61,36.54,-14.8,78.0,7.4
Albany,75,US,1552938374,25,-73.75,42.65,41.0,18.34
Ponta do Sol,20,BR,1552938495,81,-46.0,-20.63,77.91,3.71
Pringsewu,68,ID,1552938495,91,104.98,-5.36,74.22,2.48
La Roche-sur-Yon,75,FR,1552938426,87,-1.43,46.67,48.2,6.93
Te Anau,44,NZ,1552938495,91,167.72,-45.41,55.77,3.38
Port Elizabeth,90,US,1552938381,42,-74.98,39.31,48.99,5.82
Thompson,20,CA,1552935600,60,-97.86,55.74,41.0,4.7
Busselton,8,AU,1552938469,38,115.35,-33.64,73.99,10.27
Talnakh,80,RU,1552938496,83,88.39,69.49,5.19,7.07
Ushuaia,75,AR,1552935600,94,-68.31,-54.81,41.0,16.11
Nizwa,0,OM,1552938497,75,57.53,22.93,50.28,4.05
Elur,40,IN,1552935600,83,76.3,10.07,82.4,3.04
Hithadhoo,76,MV,1552938497,100,73.08,-0.6,84.21,6.4
Anadyr,0,RU,1552938209,68,177.51,64.73,-14.01,6.71
Cidreira,76,BR,1552938497,96,-50.22,-30.17,71.97,14.79
Nikolskoye,0,RU,1552938463,93,30.79,59.7,37.0,4.47
Port Hedland,20,AU,1552935600,83,118.58,-20.31,82.4,4.7
Kruisfontein,64,ZA,1552938498,94,24.73,-34.0,68.46,6.24
Vestmannaeyjar,90,IS,1552932600,100,-20.27,63.44,44.6,23.04
Punta Arenas,40,CL,1552938209,92,-70.91,-53.16,51.8,25.28
Atuona,32,PF,1552938499,100,-139.03,-9.8,81.96,15.79
Vaini,0,IN,1552938504,90,74.49,15.34,65.04,2.21
Kungurtug,56,RU,1552938504,68,97.53,50.6,6.63,3.56
Ixtapa,90,MX,1552938328,73,-105.21,20.71,77.0,13.87
Biltine,12,TD,1552938504,20,20.93,14.53,74.04,9.42
Manavalakurichi,40,IN,1552937400,74,77.3,8.13,84.2,3.36
Avera,1,US,1552938494,19,-82.53,33.19,68.0,10.29
Bonthe,0,SL,1552938505,74,-12.5,7.53,82.23,4.83
Nelson Bay,90,AU,1552938364,93,152.14,-32.72,66.2,4.7
Mangrol,0,IN,1552938505,65,76.51,25.33,57.21,2.21
Loandjili,40,CG,1552935600,89,11.87,-4.77,84.2,5.82
Bredasdorp,76,ZA,1552935600,83,20.04,-34.53,69.8,8.05
Saldanha,0,PT,1552938506,73,-6.55,41.42,38.49,2.89
Carnarvon,0,ZA,1552938506,73,22.13,-30.97,58.2,8.14
Bethel,90,US,1552936140,78,-161.76,60.79,15.8,8.05
Sibolga,12,ID,1552938507,100,98.78,1.74,68.55,1.59
Mar del Plata,92,AR,1552938507,43,-67.52,-46.43,60.18,16.08
Margate,75,AU,1552938441,87,147.26,-43.03,53.6,6.93
Boromo,68,BF,1552938507,51,-2.93,11.74,84.03,5.57
Alta Floresta,75,BR,1552935600,52,-56.08,-9.87,91.4,2.24
Avarua,8,CK,1552935600,88,-159.78,-21.21,82.4,8.05
Sisimiut,32,GL,1552938402,78,-53.67,66.94,-13.54,8.25
Hobart,75,AU,1552937841,87,147.33,-42.88,53.6,6.93
Zhezkazgan,0,KZ,1552938508,80,67.71,47.8,21.21,14.18
Dali,20,CN,1552938508,71,100.24,25.6,54.69,6.35
Muros,0,ES,1552938406,75,-9.06,42.77,54.0,10.29
Lebu,0,ET,1552938514,59,38.73,8.96,51.72,6.02
Kodiak,1,US,1552938490,8,-94.76,39.95,53.01,5.82
Constitucion,75,MX,1552938016,26,-104.67,23.99,70.0,12.75
Port Blair,0,IN,1552938514,100,92.75,11.67,82.86,5.5
Tiksi,20,RU,1552938514,38,128.87,71.64,-25.51,3.33
Georgetown,75,GY,1552935600,70,-58.16,6.8,86.0,13.87
Guerrero Negro,0,MX,1552938515,38,-114.04,27.97,72.51,12.17
Ribeira Grande,40,PT,1552935600,72,-28.7,38.52,64.4,11.41
Hirado,44,JP,1552938208,94,129.49,33.32,53.01,7.0
Piacabucu,12,BR,1552938516,59,-36.43,-10.41,85.74,11.61
Ola,20,RU,1552938516,100,151.3,59.58,-4.18,9.82
Leningradskiy,68,RU,1552938516,90,178.42,69.38,0.96,30.96
Barra,0,GM,1552935600,69,-16.54,13.49,75.2,11.41
Mezen,92,RU,1552938517,83,44.24,65.85,33.81,9.15
Turayf,0,SA,1552935600,58,38.65,31.68,55.4,6.93
Gravdal,0,NO,1552938424,100,5.78,59.79,41.0,25.28
Biak,0,ID,1552938517,96,122.88,-0.91,76.38,2.37
Van Buren,75,US,1552938438,49,-67.94,47.16,25.0,10.29
Zhanjiang,80,CN,1552938518,95,110.4,21.2,72.33,8.41
Sao Joao da Barra,20,BR,1552935600,59,-41.05,-21.64,89.6,13.87
Santa Cruz,1,US,1552938237,52,-122.03,36.97,77.0,6.93
Qaanaaq,0,GL,1552938519,73,-69.36,77.48,-25.42,7.25
Bud,40,NO,1552938387,93,6.91,62.91,35.6,3.36
Hami,92,CN,1552938520,73,93.51,42.84,41.55,0.2
Hofn,90,IS,1552935600,93,-15.21,64.25,41.0,12.75
Sorland,40,NO,1552936800,68,12.69,67.67,28.4,3.36
Vila Velha,20,BR,1552938489,89,-38.6,-3.71,79.0,7.0
Laguna,5,MX,1552934460,36,-110.01,27.52,75.2,5.82
Tuktoyaktuk,75,CA,1552935600,86,-133.03,69.44,26.6,4.7
Broome,75,GB,1552938515,86,1.45,52.47,46.99,5.82
Dover,40,US,1552938382,48,-75.52,39.16,48.0,6.93
Kavieng,0,PG,1552938526,99,150.8,-2.57,84.12,10.16
Souillac,0,FR,1552938490,70,-0.6,45.6,50.0,9.17
Mosquera,40,CO,1552935600,52,-74.23,4.71,68.0,6.93
Victoria,75,BN,1552935600,88,115.24,5.28,80.6,8.81
Bluff,0,AU,1552938527,93,149.07,-23.58,67.29,3.49
Mochicahui,5,MX,1552938017,20,-108.93,25.95,82.0,12.75
Geraldton,75,CA,1552938000,58,-86.95,49.72,30.2,8.05
Los Llanos de Aridane,40,ES,1552938061,68,-17.92,28.66,64.4,14.99
Salym,48,RU,1552938528,91,71.48,60.06,23.55,5.84
Vila Franca do Campo,75,PT,1552938215,82,-25.43,37.72,59.0,5.82
Anloga,20,GH,1552935600,79,0.9,5.79,84.2,12.75
